District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Imperial Treasure Super Peking Duck Restaurant 御寶至尊烤鴨店,1.279406223512814,103.85172794656997,Peking Duck Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,LeVeL 33 Craft-Brewery Restaurant & Lounge,1.280395665493566,103.85420436595382,Brewery
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Super Loco Custom House,1.282502,103.853714,Mexican Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Si Wei Mao Cai 思味冒菜,1.2835347565904247,103.84523570243687,Chinese Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Din Tai Fung 鼎泰豐 (Din Tai Fung),1.2805480195922938,103.85384274600021,Dumpling Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Esplanade Riverside,1.2888952713583763,103.8550978155989,Waterfront
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Singapore F1 GP: Padang Stage,1.2906966201285628,103.85329735080651,Concert Hall
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,왕대박 Wang Dae Bak Korean BBQ Restaurant,1.281345203093981,103.84755092069813,Korean Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Funan,1.291332683974342,103.85012105102302,Shopping Mall
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Jumbo Seafood Gallery 珍宝海鮮樓 (Jumbo Seafood Gallery),1.289276,103.848288,Seafood Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Smith Street Taps,1.282590750511162,103.84375321101133,Beer Garden
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Anglo Indian Cafe & Bar,1.2790836483039665,103.85012677894278,Indian Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,PPP Coffee,1.291628,103.849741,Coffee Shop
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Meat Smith,1.2802049410855447,103.8474104901937,Southern / Soul Food Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Wink Hostel,1.2841320036933643,103.84424139257524,Hostel
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,The Westin Singapore,1.2782748644512303,103.85077194308906,Hotel
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Marina Bay Downtown Area (MBDA),1.2790415374388213,103.85495626876134,Harbor / Marina
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Park Bench Deli,1.2798723608759432,103.84728710112705,Deli / Bodega
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,WeWork Funan,1.2915157,103.8501338,Business Service
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Louis Vuitton Island Maison,1.2851123562237643,103.85853752419233,Boutique
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,3rd Culture Brewing Co.,1.2802459085809665,103.84485033931811,Beer Bar
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Marina Bay Sands Boardwalk,1.284048347205377,103.85849118232727,Waterfront
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Singapore F1 Padang Grandstand,1.2906556420670499,103.85277271270752,Event Space
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Marina Bay Sands,1.2831902557086854,103.85912418365479,Resort
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Singapore F1 Circuit Gate 3,1.2922431064599564,103.85414600372314,Event Space
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Swanston,1.2855465719556283,103.84304943242896,Cosmetics Shop
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Song Fa Bak Kut Teh 松发肉骨茶 (Song Fa Bak Kut Teh),1.28898,103.847693,Soup Place
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Pepper Bowl,1.279371,103.84671,Asian Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,The Promontory @ Marina Bay,1.2814526195464295,103.85408163070679,Waterfront
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Westin Infinity Pool,1.2780572315130252,103.8510768539789,Pool
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Asia Square,1.2783397029195316,103.8515133586859,Plaza
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,NUDE Seafood,1.2789930213970169,103.85449233549566,Seafood Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Littered With Books,1.2794401610962218,103.84332770263443,Bookstore
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Junior,1.2789584,103.84418,Bar
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,JAAN,1.2931605181667738,103.85358339518467,Modern European Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,CUT by Wolfgang Puck,1.2853498841123125,103.85944005306924,Steakhouse
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Lobby Lounge Westin,1.277810500182125,103.85096556565624,Bar
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,嗨货 hi! joyful,1.2822754600006825,103.84428387141276,Seafood Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,New Creation Church (MBS),1.2824229508693408,103.85884036741291,Church
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Singapore F1 Bay Grandstand,1.289449790374154,103.85859690024587,Event Space
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,ArtScience Museum,1.2863578168060021,103.85944922810626,Art Museum
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,ShuKuu Izakaya,1.280110799343203,103.8477615067585,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Oasia Downtown Hotel,1.2760695661077268,103.84433425361598,Hotel
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Two Men Bagel House,1.274465,103.844421,Bagel Shop
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Alchemist,1.2760671,103.84619,Coffee Shop
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Salmon Samurai,1.2750672,103.84373,Sushi Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,DON DON DONKI,1.274741542411784,103.84338290018403,Discount Store
